,Case-Shiller U.S. National Home Price Index
1987-01-31,63.736999999999995
1987-02-28,64.137
1987-03-31,64.472
1987-04-30,64.977
1987-05-31,65.55199999999999
1987-06-30,66.222
1987-07-31,66.78699999999999
1987-08-31,67.26899999999999
1987-09-30,67.624
1987-10-31,67.904
1987-11-30,68.094
1987-12-31,68.345
1988-01-31,68.583
1988-02-29,68.916
1988-03-31,69.324
1988-04-30,69.788
1988-05-31,70.407
1988-06-30,71.066
1988-07-31,71.684
1988-08-31,72.184
1988-09-30,72.57300000000001
1988-10-31,72.822
1988-11-30,73.065
1988-12-31,73.278
1989-01-31,73.616
1989-02-28,73.967
1989-03-31,74.41
1989-04-30,74.87
1989-05-31,75.29899999999999
1989-06-30,75.69800000000001
1989-07-31,76.042
1989-08-31,76.27199999999999
1989-09-30,76.422
1989-10-31,76.49
1989-11-30,76.523
1989-12-31,76.499
1990-01-31,76.527
1990-02-28,76.587
1990-03-31,76.79
1990-04-30,77.039
1990-05-31,77.297
1990-06-30,77.50399999999999
1990-07-31,77.559
1990-08-31,77.477
1990-09-30,77.227
1990-10-31,76.911
1990-11-30,76.38
1990-12-31,75.971
1991-01-31,75.532
1991-02-28,75.249
1991-03-31,75.14
1991-04-30,75.319
1991-05-31,75.77
1991-06-30,76.255
1991-07-31,76.517
1991-08-31,76.594
1991-09-30,76.577
1991-10-31,76.286
1991-11-30,76.032
1991-12-31,75.846
1992-01-31,75.703
1992-02-29,75.658
1992-03-31,75.817
1992-04-30,76.083
1992-05-31,76.402
1992-06-30,76.60600000000001
1992-07-31,76.715
1992-08-31,76.735
1992-09-30,76.631
1992-10-31,76.6
1992-11-30,76.581
1992-12-31,76.467
1993-01-31,76.399
1993-02-28,76.333
1993-03-31,76.388
1993-04-30,76.665
1993-05-31,77.03399999999999
1993-06-30,77.52
1993-07-31,77.888
1993-08-31,78.134
1993-09-30,78.20100000000001
1993-10-31,78.176
1993-11-30,78.17399999999999
1993-12-31,78.117
1994-01-31,78.203
1994-02-28,78.209
1994-03-31,78.35300000000001
1994-04-30,78.706
1994-05-31,79.21300000000001
1994-06-30,79.705
1994-07-31,80.067
1994-08-31,80.32
1994-09-30,80.343
1994-10-31,80.307
1994-11-30,80.172
1994-12-31,80.081
1995-01-31,80.03
1995-02-28,79.995
1995-03-31,80.082
1995-04-30,80.374
1995-05-31,80.697
1995-06-30,81.074
1995-07-31,81.417
1995-08-31,81.66
1995-09-30,81.744
1995-10-31,81.732
1995-11-30,81.63600000000001
1995-12-31,81.51899999999999
1996-01-31,81.432
1996-02-29,81.404
1996-03-31,81.67
1996-04-30,82.13
1996-05-31,82.60799999999999
1996-06-30,83.054
1996-07-31,83.42399999999999
1996-08-31,83.65
1996-09-30,83.70700000000001
1996-10-31,83.634
1996-11-30,83.56200000000001
1996-12-31,83.49600000000001
1997-01-31,83.535
1997-02-28,83.601
1997-03-31,83.916
1997-04-30,84.32600000000001
1997-05-31,84.869
1997-06-30,85.40299999999999
1997-07-31,85.846
1997-08-31,86.155
