,Homeownership Rate in the United States,Monthly Supply of Houses in the United States,US Population data,Median Sales Price of Houses Sold,GDP,Natural Rate of Unemployment,Consumer Price Index,House Price Index,10-Year Treasury
1976-06-30,64.6,6.766666666666667,217776.0,44200.0,1852.332,6.211358000000001,56.96666666666667,65.52,0.8013636363636365
1976-09-30,64.9,6.266666666666667,218337.66666666666,44400.0,1886.558,6.217563,57.9,66.59,1.0996875000000002
1976-12-31,64.8,5.8,218917.33333333334,45500.0,1934.273,6.2230989999999995,58.699999999999996,67.31,1.4673770491803284
1977-03-31,64.8,5.133333333333333,219426.66666666666,46300.0,1988.648,6.227931,59.666666666666664,69.48,1.3322222222222224
1977-06-30,64.5,5.466666666666666,219956.0,48900.0,2055.909,6.232016562999999,60.63333333333333,72.69,1.2482539682539682
1977-09-30,65.0,5.933333333333333,220572.66666666666,48800.0,2118.473,6.235309,61.5,74.36,0.8147619047619046
1977-12-31,64.9,6.033333333333334,221201.0,51600.0,2164.27,6.237757,62.333333333333336,77.19,0.45483333333333326
1978-03-31,64.8,6.099999999999999,221718.66666666666,53000.0,2202.76,6.239311,63.43333333333334,79.6,0.4663934426229509
1978-06-30,64.4,5.966666666666666,222281.33333333334,55300.0,2331.633,6.239927,64.73333333333333,82.74,0.32126984126984115
1978-09-30,65.2,6.366666666666667,222932.66666666666,56100.0,2395.053,6.239574432,66.13333333333333,85.15,0.01666666666666669
1978-12-31,65.4,6.099999999999999,223583.0,59000.0,2476.949,6.23823452,67.60000000000001,87.49,-0.508360655737705
1979-03-31,64.8,6.666666666666667,224152.0,60600.0,2526.61,6.235909462,69.16666666666667,91.37,-0.6879032258064514
1979-06-30,64.9,7.099999999999999,224737.0,63100.0,2591.247,6.232616999999999,70.8,94.43,-0.4762903225806451
1979-09-30,65.8,7.133333333333333,225418.33333333334,64700.0,2667.565,6.228393555,72.63333333333334,96.43,-0.4368253968253969
1979-12-31,65.4,8.1,226117.33333333334,62600.0,2723.883,6.22329,74.83333333333333,98.3,-1.1185245901639347
1980-03-31,65.5,8.766666666666667,226754.0,63700.0,2789.842,6.21737051,77.6,100.0,-1.2779032258064518
1980-06-30,65.5,9.466666666666667,227389.0,64000.0,2797.352,6.210709,80.2,101.6,0.2509523809523809
1980-09-30,65.8,6.6000000000000005,228070.66666666666,64900.0,2856.483,6.2033879999999995,81.39999999999999,104.48,0.58546875
1980-12-31,65.5,7.433333333333333,228689.66666666666,66400.0,2985.557,6.195495605,83.93333333333334,104.53,-0.7972131147540985
1981-03-31,65.6,7.933333333333334,229155.33333333334,66800.0,3124.206,6.187123000000001,85.90000000000002,105.26,-0.6159016393442625
1981-06-30,65.3,8.733333333333333,229673.66666666666,69400.0,3162.532,6.178361416,87.8,107.46,-0.9492063492063489
1981-09-30,65.6,10.033333333333333,230301.33333333334,69200.0,3260.609,6.169302463999999,90.76666666666667,108.83,-1.1831250000000002
1981-12-31,65.2,8.833333333333334,230903.66666666666,70400.0,3280.818,6.160031,92.53333333333335,107.57,0.1714754098360656
1982-03-31,64.8,8.933333333333334,231395.0,66400.0,3274.302,6.150627,93.66666666666667,106.29,-0.23442622950819672
1982-06-30,64.9,8.666666666666668,231906.0,69600.0,3331.972,6.141159534,95.40000000000002,108.97,-0.21714285714285717
1982-09-30,64.9,7.333333333333333,232498.0,69300.0,3366.322,6.131687,97.0,107.2,0.4826562500000001
1982-12-31,64.5,5.800000000000001,233074.33333333334,71600.0,3402.561,6.122254,97.33333333333333,111.78,0.7873770491803279
1983-03-31,64.7,5.466666666666666,233546.0,73300.0,3473.413,6.112889,97.93333333333334,114.49,1.0152380952380953
1983-06-30,64.7,5.1000000000000005,234028.33333333334,74900.0,3578.848,6.103606,98.89999999999999,115.95,0.793968253968254
1983-09-30,64.8,6.066666666666666,234603.0,77400.0,3689.179,6.094400406,100.13333333333333,116.97,0.7784374999999999
1983-12-31,64.4,5.366666666666666,235153.33333333334,75900.0,3794.706,6.085254,101.43333333333334,117.67,0.9956666666666666
1984-03-31,64.6,5.5,235604.66666666666,78200.0,3908.054,6.076131,102.83333333333333,119.46,1.0298387096774195
1984-06-30,64.6,6.433333333333333,236082.33333333334,80700.0,4009.601,6.066982,104.10000000000001,121.04,0.8473015873015872
1984-09-30,64.6,6.8999999999999995,236657.33333333334,81000.0,4084.25,6.057761,105.39999999999999,122.19,0.3603174603174603
1984-12-31,64.1,6.833333333333333,237232.66666666666,79900.0,4148.551,6.048421382999999,106.46666666666668,123.16,0.9219672131147538
1985-03-31,64.1,6.533333333333334,237672.66666666666,82800.0,4230.168,6.0389029999999995,107.63333333333333,124.91,1.3114999999999999
1985-06-30,64.1,6.433333333333334,238175.66666666666,84300.0,4294.887,6.029139519,108.76666666666665,126.81,1.421904761904762
1985-09-30,63.9,5.8999999999999995,238789.33333333334,83200.0,4386.773,6.019057,109.73333333333333,128.77,1.4395238095238094
1985-12-31,63.5,6.033333333333334,239386.66666666666,86800.0,4444.094,6.008578,111.0,130.22,1.231612903225806
1986-03-31,63.6,5.466666666666666,239860.66666666666,88000.0,4507.894,5.997622,112.2,132.73,0.789333333333333
1986-06-30,63.8,5.2,240367.66666666666,92100.0,4545.34,5.98611,113.13333333333333,135.5,0.62015625
1986-09-30,63.8,6.3,240961.66666666666,93000.0,4607.669,5.973967552,114.2,137.57,0.8557812499999999
1986-12-31,63.9,6.033333333333334,241539.0,95000.0,4657.627,5.961125374,115.3,139.7,0.988225806451613
1987-03-31,63.8,6.066666666666666,242009.33333333334,97900.0,4722.156,5.947525501,116.23333333333335,142.48,0.8442622950819674
1987-06-30,63.8,6.533333333333334,242520.0,103400.0,4806.16,5.933125496000001,117.63333333333333,144.69,0.8926984126984132
1987-09-30,64.2,6.766666666666667,243120.33333333334,106000.0,4884.555,5.917901516000001,118.73333333333333,146.34,1.0296875
1987-12-31,64.1,7.133333333333333,243720.66666666666,111500.0,5007.994,5.901855,120.09999999999998,147.31,1.1390322580645162
1988-03-31,63.7,6.8999999999999995,244207.66666666666,110000.0,5073.372,5.885015,121.26666666666667,149.59,1.0593548387096774
1988-06-30,63.7,6.3999999999999995,244716.66666666666,110000.0,5190.036,5.86744,122.73333333333333,152.59,1.0355555555555556
